GENERAL PROPERTIES,,
PROPERTY NAME,PROPERTY TYPE,DESCRIPTION
Name,Equip.  General Properties,Equipment Name
Room,Equip.  General Properties,Equipment location
Priority,Equip.  General Properties,"Equipment Priority is assigned here (Normal, EO1, EO2, Life Safety)"
Is Existing,Equip.  General Properties,Equipment is existing
Is Future,Equip.  General Properties,Equipment is intended for future installation
Load Capacity,Load Properties,"For a Utility, Load Capacity is irrelevant"
Load Override,Load Properties,Intended to override load calculations
Voltage,Load Properties,"Voltage is a read only property in most situations.  It is set at the source of power, i.e. utility, generator, or transformer.  Current available voltages: 13.8kV, 13.2kV, 5400V, 4160V, 480V, 460V, 277V, 208V, 120V"
Poles,Load Properties,"Available Poles: 1,2,3,6,9"
Power Factor,Load Properties,
Custom Diversity Class,Load Readings,
Diversity Position,Load Readings,
CONT. LOAD Connected Load,Load Readings,CONTINUOUS LOAD. ALL LOAD READINGS RETURNED IN KVA
DIVERS. RECPT. LOAD Code Demand Load,Load Readings,DIVERSIFIED RECEPTACLE LOAD
Diversified Resi. Load,Load Readings,Diversified Residential Load
% Design Spare Capacity,Load Readings,Supplemental design factor based on Connected Load
Net Design Spare Capacity,Load Readings,Summation of downstream % Design Spare Capacity
Net Load,Load Readings,"Sum of Continuous Load, Diversified Receptacle Load, Diversified Residential Load, and Design Spare Capacity"
Max Capacity,Load Readings,kVA value of Load Capacity
% Loaded,Load Readings,Connected Load / Load Capacity
VD% Incoming,Network Readings,Volts Dropped Percentage at the loadside of upstream equipment
VD% Net,Network Readings,Total volts dropped percentage at the current node of the distribution system
SCC Incoming,Network Readings,Available short circuit current at the upstream node
SCC Net,Network Readings,Total short circuit current at the current node of the distribution system
CIRCUIT PROPERTIES,,
PROPERTY NAME,PROPERTY TYPE,DESCRIPTION
# Sets,Cable Properties,Quantity of sets
# Phase Legs,Cable Properties,"Phase legs, default is 3 for 3-phase loads"
Phase Size,Cable Properties,Phase size
# Neutrals,Cable Properties,Quantity of neutral conductors
Neutral Size,Cable Properties,Neutral Size
# Grounds,Cable Properties,Quantity of Ground Conductors
Ground Size,Cable Properties,Ground Size
Insulation Type,Cable Properties,"Insulation Type - Current Available Types: THHN, XHHW, RHH"
Conductor Material,Cable Properties,Conductor Type - Current Available Types: CU. AL.
